PAIS_COD,1-2014,2-2014,3-2014,4-2014,5-2014,6-2014,7-2014,8-2014,9-2014,10-2014,11-2014,12-2014,1-2015,2-2015,3-2015,4-2015,5-2015,6-2015,7-2015,8-2015,9-2015,10-2015,11-2015,12-2015,1-2016,2-2016,3-2016,4-2016,5-2016,6-2016,7-2016,8-2016,9-2016,10-2016,11-2016,12-2016,1-2017,2-2017,3-2017,4-2017,5-2017,6-2017,7-2017,8-2017,9-2017,10-2017,11-2017,12-2017,1-2018,2-2018,3-2018,4-2018,5-2018,6-2018,7-2018,8-2018,9-2018,10-2018,11-2018,12-2018,1-2019,2-2019,3-2019,4-2019,5-2019,6-2019,7-2019,8-2019,9-2019,10-2019,11-2019,12-2019
ARE,83.51497206708967,59.514997224819815,47.293588047666745,52.98396035865926,74.43130890369676,69.43595269404442,79.63559501753531,72.65941020225294,65.77662619731858,50.15698587127159,72.78689227662659,56.9201256147069,80.62008923574457,88.83094917645317,37.71558075360343,52.941960723193894,67.25719020348869,65.6187857640319,79.88720873593292,70.27144684628237,67.34127479814286,60.28571428571429,74.48159220953339,56.32588747572708,86.07041952994163,79.47930510595012,22.465345283677692,53.146334963905566,65.37585968160386,70.4459316452747,80.32506376092634,72.80026990553307,62.8185283015848,36.618004866180044,73.82090134904537,61.946937679519415,83.46250467971242,66.46796563811763,37.90245668847513,57.78415410168312,67.34702880119167,67.11597069763484,81.68717867397032,72.91267096873715,67.47991693629957,42.38831983712524,72.73611508202909,60.98519576973586,68.96195185325028,71.97924256885942,73.03798911635138,55.32544378698225,61.6113744075829,56.66047420428585,67.36570635335002,53.57089329666849,38.500832485006256,47.29363869970753,45.88150219879067,35.828745223051406,58.109864422521724,74.72389554367527,79.45508104018316,55.02283105022831,49.74874371859298,69.77755211657478,71.8966128661415,56.78315650056258,46.78793273719374,40.83782174676138,53.152818979800685,40.928275788143644
AUS,67.6364311023121,39.79035491168118,36.51603875722158,49.026741174360396,73.216797872424,47.40037619972781,41.29156230768019,74.97711853558627,65.38588774745652,60.099424385138676,51.58708653575803,50.77814760573381,68.3699136895154,61.29569991538036,38.10780306098343,49.75800339306846,78.1781380537628,46.19318613931249,47.49025528794666,73.95428675856307,62.90966250751882,56.71428571428571,52.935861524096815,52.797548530154536,71.62475933599744,55.24365520237364,14.01865620090149,49.94761895613291,76.20339849326291,49.803193227110846,50.94302615428815,77.66918799402352,60.209832320779206,30.160178426601785,56.05196024770061,54.206193365014876,68.67060710895366,43.80801172736253,38.63594981535926,55.56855396734379,73.56495551388922,51.12350743455704,51.33717358188639,77.39518906338759,62.12386528430237,31.67352231107338,58.462904211495484,52.794232721983754,69.85975592355119,53.27653911214238,51.498160286824465,54.73372781065089,91.94312796208528,62.41217381430264,55.06890961411817,54.241001923151,41.265592028972605,3.56285367836208,48.97809129674791,43.382813378909916,55.05185411487269,54.109192887437004,54.03076306197504,53.881278538812786,86.43216080402016,68.22105030130979,62.966370752563364,54.22533171995926,45.99091290355778,2.731361579947061,51.064584692633474,46.533767791755594
AUT,67.29634497209537,48.87210616359578,40.649919544173386,49.866607475453115,66.32121938859689,57.62320013934878,42.20704558567005,53.06271601382489,59.91230890831251,52.95656724228154,76.86731098566848,57.36509838480281,67.16271161988749,69.72519996006926,43.032668489082376,49.407327118764286,66.96997849776751,54.58990516185441,42.22027013440541,52.064732142857146,59.309315051618945,48.71428571428571,78.25362709186238,58.210933594512554,71.53418372767787,63.632690403346814,20.657145001006278,49.432796505748755,67.18093630154748,59.09239430615143,41.48094424524024,64.44377168883747,56.93030055748072,29.308596918085968,80.82273130295442,61.7399058404025,65.13518821864983,57.26017726522621,44.85185314764493,53.75369157905176,60.51912041117545,59.05647171515871,39.82044274786605,63.162506917102505,57.26817096462937,31.732447434808503,82.17553336750545,60.39436689359611,66.12410434809628,62.669739112063525,49.561787559702225,54.73372781065089,89.09952606635072,53.41671830112897,48.18530744516352,56.16208958289749,36.20220515602137,27.41095251475611,43.91776391611026,49.846742851972955,54.13437316729675,62.26708658301922,46.762956681544075,54.337899543378995,86.43216080402016,63.378794687757996,56.132825428298986,51.049434554947695,42.66582482757274,26.81156994890261,47.405020876819655,54.12110506220092
BEL,66.25658978150517,45.8833337066926,37.79901858356753,52.09808309159046,80.74950928784867,59.88634942239083,39.0650214621447,59.13762480798771,66.24621567542044,59.366823652537946,69.58318955601564,63.62687212194601,64.68128371297057,70.2752049030664,41.69021745244282,51.95887129331049,81.73501347478637,54.43576789262375,46.43917172673755,59.07398705096074,68.26123529076797,57.857142857142854,74.44806555100672,63.904642137097376,68.22472370641134,60.057196527466964,22.327177116364755,51.92492532505589,88.2220248089001,62.62723491479253,49.15724718547759,69.6080194476576,63.758782960263765,36.37469586374696,76.01851294599773,64.15685946206254,60.05478098428566,49.94434584154869,44.9681899632464,56.4254165405339,76.71707942259295,61.15295520445853,49.269655652226255,68.03581987865076,61.37149257157442,43.30481589025761,76.39420001082574,63.23795201562101,63.645307882693906,68.06852105289992,43.277530285981285,55.917159763313606,85.30805687203788,54.582715669929314,44.65470145823333,61.73381240036817,39.9036419750557,46.76773647139949,46.99137545010535,49.05167556436497,48.36962467371407,67.24404012914445,46.27179287032597,54.5662100456621,82.41206030150752,63.27174585987192,48.47455139071461,62.96497657121863,45.395527571046664,47.187305541367586,49.636579968134846,52.76776850506999
BGR,27.16491888566541,23.710606366717727,23.500662437802553,40.366733768703305,38.847430204735105,29.988960792078046,30.491797968167386,40.220094086021504,34.68711126167641,37.10099424385138,18.815074597079427,16.540742360939408,25.626460037325014,33.18337366565984,33.23972360028349,39.72837874300723,39.433769833862065,27.55537929494781,28.979336676785035,37.23364400584795,37.59613862385783,34.57142857142857,21.701019296607534,19.11927027831783,30.09388084503287,32.245809763934446,27.08958241332266,39.339495343877886,39.67813610256702,31.214370922870778,33.113210396166416,47.649562608444185,42.01393898604035,21.390916463909164,27.92275154977995,27.68733702022334,27.084194912995013,28.910170522068174,30.936285298271308,33.1350853762237,29.630249392778513,32.068438955636545,27.511970950776746,43.414286387631975,38.586517154840166,26.687167320907893,28.14435688697583,25.24563635564872,37.763813645820065,39.333730505317575,42.54820117313269,70.58823529411765,63.9810426540284,28.975333628784615,27.402284236674966,47.25080851158745,31.316304590642567,23.969413249564365,30.71981738576628,18.205335009665216,42.51241457465632,39.04471597718843,48.38951320137478,37.88009737406911,58.793969849246274,40.694536633316325,33.889426152880006,51.89464629132924,34.02858824957869,22.748636926344723,35.90015238262189,22.843909193893573
BRA,28.824544079263386,14.594307776186948,32.415841370375915,45.297366987557666,38.242612926304915,43.9906244977492,32.69877019402144,50.06992447516641,35.2786373252765,68.78597592883307,42.17017606208427,27.296561867990437,20.26058083795666,22.117034797092632,33.596000247488554,44.564769300128326,29.41900436903096,38.54762256209479,26.641642247150553,45.91596177944862,36.34466058142783,68.0,35.85446144269674,20.53537492139854,22.4531009103458,21.89006326453784,34.33956037770662,37.13648388640599,29.49717128097086,38.709469247166446,25.319581562686764,36.68130663196452,35.76175873391982,35.30008110300081,34.24088026015003,17.59175218213044,23.195930831787003,20.420957953275952,39.891755370959444,34.54662315634393,22.059149575961495,39.38999444269157,26.177647675548112,35.49982186930716,34.4597871261697,38.03455496164315,37.94048916921445,20.603025875520256,43.6255171832316,31.63385803187858,29.213542798125598,20.179690219282982,63.50710900473933,32.4195031766542,29.5804477847132,37.645655235821295,26.1725181809579,0.059790121184972046,42.837491003844384,25.02388469819651,38.27888903930468,31.54088524856754,31.684757646467613,9.269262348213125,61.306532663316624,24.521206523204945,31.393303857310165,40.95650427509093,31.272764351718806,0.057972437484923534,35.64561906025321,26.98708941312262
CAN,75.24165955292608,44.12310882081789,41.314640097629535,49.157614095716376,71.9175639595331,46.47375746224245,64.94337758483715,78.16432251664106,59.57263056446111,68.2888540031397,59.3234490728452,54.71301456276826,72.70597731982993,65.26443058955124,43.25379177775528,49.45801551130752,72.47132906386726,43.21928560549393,66.91812815547121,81.52901785714286,62.72245106394944,65.85714285714285,62.89699897052838,55.01076691296697,75.2741510948106,57.92496708359123,17.57543725612187,49.29631350419072,70.65611454239465,48.01846669799751,65.45657505109811,76.48615227973781,60.51761777083916,37.46958637469586,60.59666775640407,55.99621749878164,71.6994697573963,52.98334169494937,43.54604909548269,55.69718382984432,72.33458565345374,49.61193964159492,70.7132046852922,79.48680302540596,61.11219507848501,38.274325555022585,62.42453998065096,56.63621283683826,71.25708823823867,57.64857846382479,43.679485102407725,54.43786982248521,90.52132701421802,61.162831163667164,46.19974690916519,66.32707653895916,47.81344165865718,7.54373251721787,49.49413073663574,52.306172726147594,56.72693781447259,56.81669408606994,46.64109866838815,53.65296803652968,86.93467336683419,73.97641975883909,50.57287328590537,63.22982983336167,53.198390395879485,6.940420614004865,52.002254182132226,49.75018524129963
CHE,81.2450880714995,70.9528528904322,41.393804294476084,53.109614086078246,85.25637325637325,57.776798481180776,83.44096529832352,77.4508768561188,76.08728506779808,50.65410779696494,89.24935214186422,85.7460909185047,74.64502369300179,68.22088059602308,54.37308430735078,47.147586112454974,72.12511947674118,52.35335729467359,53.887327202434534,72.4766342940685,84.73676600057772,48.28571428571429,77.20766297972179,77.0887236168395,87.07736904244655,72.57210547552171,22.999541739414372,53.8370867596339,83.17156707768328,62.509559002902165,86.5634394952698,84.40349672257567,74.81297402479296,32.20802919708029,89.61712654410424,86.79416470801509,83.49176238278321,63.990930719285124,62.256107305621526,59.512966885738514,85.13140844262868,64.96116989294576,88.4316191970949,83.35764113337643,74.7745468353664,34.85203341306364,91.39100917511206,86.8313910899851,74.25179744525933,76.87618765896023,56.932769662674914,50.0,93.83886255924172,72.18468294754801,54.71222318065288,76.46063425647863,53.88304613803135,29.33929902958748,52.471837140296266,73.91611387025732,56.56603695222991,75.36982296919253,61.90110632548128,50.91324200913242,94.47236180904525,80.64695744069225,56.71225176361545,74.64799470087047,58.68601142184166,28.637219359526775,51.50483733181904,77.50772665802229
CHL,62.414254025898934,32.60515857084057,30.082006908422454,41.316357466531215,52.644739460982656,46.613720289810786,57.916369877375004,64.96555779569893,46.415178393601146,46.80795395081108,38.05048894118942,33.49887255305975,55.19333688599213,52.25741524571364,32.67958599102291,40.091239676258205,50.864485363013415,42.59312761469926,55.52430361462358,62.9984466374269,48.28211017601601,46.857142857142854,37.14198328904211,29.54991917460679,54.32427092924919,44.009469399945516,17.278790186251232,40.82935033289963,49.83245571582934,45.32713579018399,56.1413436416655,70.03742830634278,45.95391115206936,72.22222222222223,36.58163082503854,26.80019590753251,50.9874643987352,39.74406375874906,35.43722267550176,49.41886466976187,45.740174748261424,47.69584464146837,57.5138141242235,72.62480932058138,45.772789180509754,26.460448900414626,41.69242939195006,28.15558489778741,55.403018169618456,51.28063317159143,38.356137149199824,58.875739644970416,84.36018957345973,43.383381477486864,55.02098712618022,50.62030907972166,38.259726294097,18.56528454820695,32.89772741006443,18.88294135204904,45.82436095946729,51.89543564419547,44.2084763996266,54.5662100456621,77.88944723618094,52.38210246719556,58.98588853352761,48.74916276855304,44.0012873945819,18.360561409515093,36.21429341322634,22.11053420684062
CHN,47.51241226321338,32.38183851818267,44.993202288667746,34.079215168225566,46.66705327844166,53.18573980370171,56.17228402257107,52.169858870967744,26.174748157310937,97.95918367346937,44.386392816344504,43.67884668623585,40.871220379379984,47.39654358118777,45.666393163691176,33.351981242904955,44.65201749344129,46.04017415172326,54.015140438793736,48.21271929824562,28.14351390486248,100.0,43.525204098733504,42.24276810770537,46.322219207949296,47.43370547653858,30.67333521885468,33.99928751856978,47.3353360854831,52.790189013788584,53.35362744909962,54.27740023134759,33.26362836510582,56.2043795620438,47.408178685562056,46.49421662852216,50.05229317864854,41.27138150153738,51.42161904780666,29.90262298793124,45.66324630396615,53.80643112274367,55.687699196620855,55.408962973301215,34.31874046980801,76.6628766344514,49.335735147498006,48.36239146628902,49.97683136565797,58.18841320669677,42.77288406510968,52.82544378698225,74.88151658767774,43.21564364377846,52.29748750664141,62.97518014676348,40.02232903461153,3.4354385410324104,40.79633313126461,45.28408640841469,44.06580603833632,58.25058553214247,52.22948332712775,51.53191305475131,74.87437185929647,51.43539605648924,53.6413731943453,61.46167323977427,44.2500303673706,2.76262817851377,40.39705481397555,49.55065053187452
COL,26.411462866154963,13.326356914156953,28.11782739445887,40.66620465767962,38.89557793822766,37.40396463369196,41.8825333109534,39.07010048643113,27.226721491808185,48.58712715855573,33.576329288889674,24.597055535479182,22.97349354760556,29.70604092313603,30.31420640545375,40.17262667586468,36.13075413590916,34.73071189299863,39.767539017235244,48.46928519214704,29.036410605136656,47.0,35.08487754075989,22.5203658236017,24.92434961536512,21.600278338620043,23.969016188966307,29.27916339639738,36.596122310475266,37.30018992922467,37.56773325432682,56.45708321283979,27.554246855582363,24.239659367396598,36.95091537941437,23.26227540344783,20.097164128809787,19.52595378189024,40.6806333907613,32.45460965080048,31.09094005088867,33.72900680074058,34.44802051181046,51.15693283432254,25.61990101308015,24.872647667370614,36.762107795441736,23.06443693662675,43.39544638457093,31.261818905645583,26.314591838699954,52.74973894883398,80.56872037914688,35.68831495432033,31.51282903361,46.27610102691878,28.100357007833324,22.749007204124148,32.62273651208409,15.185028759164313,37.91648733924388,32.87026267332181,32.60910741228046,42.217996917448104,86.43216080402016,43.015755921634806,32.24040742536319,46.836286830181166,33.15707452009121,21.972951698326014,36.042065009290624,17.00978925088338
CZE,38.208707392697285,30.032243108505295,32.344388446235854,43.18885649274397,53.760178485223854,47.9465387935854,44.533579305872436,52.77253744239631,47.03979361559037,51.17739403453689,45.87825452861685,36.51105468593153,43.249311726881885,48.04598852445861,34.75583285523044,37.277060850970614,55.81895608138933,51.40641543775496,49.49845416026056,58.273091583124476,54.22964338971516,49.57142857142857,47.8724771960066,37.335227977828445,48.17001350177276,44.30679178884566,17.61763576695786,44.06148408156125,55.65162584388244,53.65882679454204,49.44030928215917,64.75749168594564,54.669608534809925,31.843065693430656,48.756959252902455,35.83101914300151,45.30746627796045,35.47570063664136,30.441365294059857,61.86845992748086,53.001842268426415,53.52584568862187,50.71092218446584,63.8398381642867,51.860093575485905,38.616012157955666,52.07207107158206,37.751111615869675,48.48554612617415,63.32979857610836,42.56854750447946,54.73372781065089,75.82938388625588,45.54264127887771,36.911206198274165,58.26405612121273,35.308061850355486,36.08872721665324,41.492636405432634,25.676017165790494,38.90654122367918,60.29398907321401,47.858304005150764,54.5662100456621,71.35678391959803,48.70232213984311,38.247989501591135,57.560863855588245,38.421172501643795,35.361651425903204,45.717833713260546,26.671746295379535
DEU,69.38598311876555,60.4476843164082,33.7277501855237,46.96517189434412,69.9502056473472,57.19989164641815,54.17784808419374,63.15280177931387,63.16115868712926,81.34484563055992,84.9195412299277,75.87258053267905,66.11403311394697,77.84852245635577,35.03275285624683,47.26037607213924,71.55040787306544,53.54274173533414,55.94964842230942,64.57289055973266,65.98588305194171,81.85714285714286,88.43963226316167,75.27332803619232,69.1285846121409,68.00840577591407,14.105853426746586,47.063851895640674,68.79788938544452,58.28720122503089,57.72800374533293,71.71207767013688,65.09816035163512,47.800081103000814,86.37422738031258,77.40107298651165,68.22184306004722,58.58650565072134,37.60353232703018,47.02293516745365,68.71218541982432,67.46314805900728,67.14598577692976,76.10260603367222,66.19249875162616,50.48665410165181,84.1572257187016,79.72824048418238,67.0081838947644,70.53284149466893,49.441893673440426,52.9585798816568,85.78199052132702,64.33736415558286,57.41799392250462,71.94936426882298,41.867782879745285,10.086060599301478,63.93006985699952,64.34939457503572,55.82959461009407,67.71555697078996,53.50405538605063,53.42465753424658,81.90954773869349,69.2591535810209,60.03754823696268,69.48728515090228,46.94818408884531,9.39572114676989,62.59986216922192,64.78713112140869
DNK,69.12679999302371,44.50436754346876,37.12799203442198,49.17775176799671,72.54807866060135,47.83545140365713,55.11921275461038,57.39879352278545,76.42024592964181,43.74672946101517,71.54369773633059,63.14886948877096,71.08432681955598,68.95252873886596,33.22179135141573,49.11634846032564,76.40642434710239,47.215925966856126,57.37681237681238,58.29280231829574,78.93693370107167,41.42857142857143,75.77170868347338,62.530632947322296,74.6104408539753,63.00740986241889,15.573874576586423,49.42825454486922,77.1758838036823,51.91940298174805,62.706514002013705,62.800315090611136,71.39514479185478,24.655312246553123,76.63911075777202,62.96354027803625,69.78719937695352,53.1844963851183,41.38866110119033,54.30903120222631,75.96520228753963,54.14060986829858,59.70530959519473,64.68957360041918,71.00743777217221,28.014102905802915,76.11088711271968,62.53969222372117,70.75754593604762,63.134701095230284,62.6181014105406,52.071005917159766,84.36018957345973,64.67055734207327,48.32209194992003,61.07576220248017,55.02798237849719,20.52855342950139,56.278470609369066,50.687498759323674,58.01793475482695,63.4757244358089,67.99716957458702,51.369863013698634,82.41206030150752,76.1218677289726,56.626739469011056,61.37641489251448,59.067481482038616,20.026172042135133,61.42950996609534,57.41001556638897
EGY,23.65334268779463,16.689127355463487,23.094280497411496,41.73030127001327,10.378427128427127,23.584392838049876,33.59094545935322,19.768505184331794,16.39604240970312,49.60753532182104,22.983793469904583,9.306933957180265,24.24455005009353,32.889266041022715,27.827706484200107,41.81523290815091,10.718756296291712,25.381699526044866,33.04036372282626,22.9985119047619,14.986146568687264,52.85714285714285,24.50980691421868,9.69561584883856,26.317198601375193,24.083064815969195,42.832035658009794,47.452781805674576,9.121424375185944,25.073606883231964,30.98984699486578,33.691922112974744,17.884489544222284,26.115166261151664,26.63335960673689,9.94258958286911,33.880428453400015,29.85412689043683,33.222606274333636,44.19527789027592,8.915030374708481,26.944614978703942,35.292273334917304,44.15723981900452,18.65791863043308,28.530249915561857,26.79845200994139,14.51745765887431,37.73913972611666,45.394010889790245,19.369890531941984,54.19117647058824,46.919431279620845,23.759082185498077,48.515485512695605,44.65637080710314,25.158520079833252,41.215697417187535,21.72778810782047,20.52827436923483,35.74418108473299,46.935873832636965,18.28856333554395,52.68138801261829,38.190954773869336,33.26745846114583,50.89096058627523,50.60336039264425,31.029939930522897,42.517909313280484,32.10300003745125,27.016796217736626
ESP,38.88042835458619,52.54946766774624,31.709898891700718,47.195884514886465,58.68009386929532,44.84871810185735,31.180432840863553,32.78825844854071,51.775859829403664,67.2684458398744,44.81271099628588,36.71215233530505,39.216721581204425,72.89517213776173,45.288355101076576,46.95743450854895,55.364405520722855,40.84247836694067,32.43585262216286,35.69659826649959,52.99007462441284,65.85714285714285,48.43574780339486,35.51743380212139,46.7419979659677,62.75586241456449,31.478082876896703,47.475753129819175,54.50521702781806,44.453026790720145,36.99743997633861,45.70243216213611,52.14143378295414,37.46958637469586,51.53322852866464,35.06119026888201,43.679103700263724,55.09138198177599,49.50637436370713,51.1817594270075,50.4663900170836,46.54867299823841,35.78926780033552,45.69571666079019,49.48265931166272,39.37098027082323,52.23541886826211,33.36474018331469,54.196108696250256,66.7089470843039,48.855127832274604,37.95683954054995,97.15639810426536,37.76223853284276,39.67281433886765,53.50821817221844,35.261247456877896,7.340466604059002,35.110191495827266,28.848736167174494,46.46539183042986,67.03010776686658,56.01389574940795,37.65178687178601,94.9748743718593,47.39839705300086,47.087291505917776,56.11848516628108,41.704135202743245,6.70240303707573,37.71524094694826,33.83027192899413
EST,66.86571676041173,39.06983762328426,31.75360563886236,45.47858625353414,66.23013505114231,55.18776598868813,57.981696245026015,58.4218990015361,57.642334781317906,20.225013082155943,39.16091680282503,40.962423366364256,64.49882868188911,50.288242062472875,25.388665303512926,45.39956610642373,67.2781680088956,52.4713045905876,56.43659214943136,58.71854114452799,60.91491825238859,17.000000000000004,39.86224233283056,42.4235375210374,70.04532897702369,52.47024768643673,11.34086426212107,46.19388608373952,66.79719259859856,57.379043180459,56.591911557964984,67.4932674233661,61.17622710522096,11.96269261962693,41.72429148494057,43.486271814258984,65.15091640110256,48.68748025294409,26.143122731682222,53.411582568215564,65.21318922411797,57.93949798597404,57.69144120439738,67.14497206225147,60.487857780013066,19.72813440504459,44.12295164562008,41.915837034604635,63.372957575505815,53.44410137633837,58.36915221925857,56.80473372781065,71.56398104265404,49.01734679889656,49.942270591583636,70.01870353646517,41.33190284427701,25.213381527941035,40.71363002667133,21.217651841676705,47.396820343351706,52.45553552732916,65.80806236877191,57.305936073059364,69.34673366834173,56.379638098530386,48.62702617373126,69.7050967108913,41.22435052271382,24.23544481981242,45.03835792707744,21.507731146575512
FIN,91.00642804211122,53.37481868076843,36.41229359619475,56.21907632664517,87.30916818779795,54.23625026469436,48.81560170979034,83.5596678187404,74.09506309178629,41.18262689691261,71.83508028918658,87.81672488815346,87.25185436617697,72.86987821419116,38.22122664326775,56.1464734738456,84.23940600427,48.3820208525395,47.67140463778779,83.11135912698413,76.2640290573767,38.57142857142857,70.10727752639518,84.53994500446863,92.94695469528591,65.12056179616594,17.343120834787744,56.136108100847636,84.58042869081977,56.70145655377204,48.16486424346143,86.0579182330827,72.98854899951861,21.877534468775345,70.0280049095972,83.0242723207351,88.72116774671711,54.5609572815959,39.03149779686407,61.72581656996367,85.1070700123702,59.28561408586214,48.48294554955415,87.53270014299426,72.58697796258888,23.805242216305388,69.4116843592605,81.08010093528945,82.48115103676659,63.69875531134204,57.90979718716371,51.77514792899408,87.2037914691943,70.19364073665162,53.44023311784098,58.60312684373052,53.238441667951186,16.676291474231164,56.99611701523523,54.732326416698164,60.44466770378845,64.31413951036471,64.90325268488678,51.598173515981735,83.41708542713569,82.1280695105638,58.21795066613358,57.97461053960519,60.04843975694105,16.358331862636664,60.92247085006231,57.01341354325771
